,phrase before,chandler's phrase
6107," oh, you're so sweet. (they hug and kiss.) oh, but wait, what about our, what about the future and stuff?"," eh, forget about the future and stuff! so we only have two kids, y'know? we'll pick our favorite and that one will get to go to college.  well, stuff like where we'd live, y'know? like a small place outside the city, where our kids could learn to ride their bikes and stuff. y'know, we could have a cat that had a bell on its collar and we could hear it every time it ran through the little kitty door. of course, we'd have an apartment over the garage where joey could grow old."
6108," hey-heeyyy - look at that, it's a christmas miracle!", i wanted to be with you. i missed you so much.
6109," hey, hey, uh, who did you miss the most?", monica.
6110, got ya. (blinks an eye), i never want to leave you again!
6111," but i thought if you left, you get fired.", turns out they can't fire me. because i quit.
6112," what, you, you really quit your job?"," yeah! it's a stupid job, and i could not stand leaving you. and why should i be the only one who doesn't get to do what he *really* wants to do?"
6113, what do you really want to do?," (realizing) i have *not* thought this through!  i know, i, i should have talked to you first about it."
6114," no, i think that this is what you wanna do, i think it's great!", thanks!
6115," chandler, your being here is the best christmas present i could have ever imagined.", (flattered) ahh...
6116, now give me my real gift.  (to chandler) thank you.," (to monica) here, pass these, will ya.. (points to the others)"
6117, wha... are you kidding? i can't return this.," i... thought it was a timely start to thinking about other people. besides, this gift still says i love you guys."
6118, mine's is to lilian myers.," i don't have a *job*!  actuary... no. book-keeper... no. topless dancer... (he looks down on himself, checking, then nods satisfied and marks the offer with a pen) (to monica:) hey, d'you know what i just realized? you are the sole wage earner. *you* are the head of the household. i don't do anything - i'm a kept man!"
6119," you are! (she picks up a bill from the table, handing it to chandler) hey, here's twenty bucks. -- why don't you go buy yourself something pretty while i'm at work tomorrow?  good morning, tiger! i'm making you a nice big breakfast so you can keep up your strength for tonight. you're gonna get me good and pregnant.", i've got nowhere to go this morning. i'm unemployed! i don't know what i'm gonna do with my life.
6120," well, i just lost my erection."," i mean, what am i supposed to do with myself?"
6121, you're supposed to find your passion in life. you can be whatever you wanna be now. it's exciting., but it's all so overwhelming. i don't know where to start.
6122," hey, wait a second. i can help you with this. you just need to be organized. we can make a list of your qualifications, and categorize jobs by industry. there could be folders and files!", hey! this is where your hyper-organized-pain-in-the-ass stuff pays off!
6123," (flipping through bunch of folders as chandler enters from bathroom) okay, i have looked through a bunch of career guides, photocopied and highlighted key passages and put them into alphabetical folders so you can make an informed decision.", how long was i in there?
6124, okay. let us start with the a's. advertising., wait. advertising! that's a great idea!
6125, don't you want to look through the rest?," i don't think i have to hear the rest. advertising makes perfect sense. sorry you had to waste all this time, though."
6126," you call eight hours alone with my label maker wasted time? ooh, now i get to use my shredder!"," i mean, i can write slogans. i mean, how hard can it be, right? ""cheese. it's milk that you chew."" ""crackers. because your cheese needs a buddy."" ""a grape. because who can get a water melon in your mouth?"""
6127," i got one. ""socks. because your family's feet deserve the best.""", honey? leave it to the pros.
6128, i actually know someone in advertising. i grew up with this guy who is a vice president at a big agency. maybe i can get him to meet you? give me the phone.," ""the phone. bringing you closer to people...who have phones."""
6129," so, do you have any other question about advertising?"," no, no. but let me show you what i can do. ""bagels and donuts. round food for every mood."""
6130, monica warned me you might do that. i actually think we might have something for you at the agency., really? that's great!
6131, it's an unpaid internship.," it's funny. when you said ""unpaid"" it sounded like you said ""unpaid."""
6132, come on now. monica has a good job. and it's not like you have a family to support.," actually, we're trying, and i don't think monica's gonna wanna postpone it. we're supposed to have sex tonight. actually, she's probably at home naked right now. i tend to keep talking until somebody stops me. i can just picture her on the bed right now."
6133, you're pretty.," whatever i decide to do, i'm gonna be starting a career from scratch. it's gonna be a while before i make a living at it. maybe now is not the right time to be starting a family."
6134," (enters) okay, it's baby time. pants off bing. (sees ross) didn't see you there geller."," yeah, ross is here so..."
6135, you have a blue tie that would go with this? emma spit up on mine.," oh, yeah. but you have to give it back if i get a job. of course, by that time in the future ties will be obsolete and we'll all be wearing silver jump suits."
6136, (to ross) sorry. (to chandler) but i kind of have this feeling that we may have made a baby last night.," oh god, i have to tell you something. you're not pregnant.  that thing that i have to do to make a baby. i faked it."
